date,open,high,low,close,volume
2024-08-30,219.8743,221.8603,217.6752,219.5837,1081900
2024-09-03,218.7796,226.3554,218.7796,223.6041,709200
2024-09-04,224.5244,228.0605,223.0325,225.9389,737100
2024-09-05,227.9248,229.5911,225.251,226.0841,960300
2024-09-06,226.8398,231.364,226.2489,231.0637,1312800
2024-09-09,230.0659,234.2801,228.6514,232.3425,1052900
2024-09-10,232.9334,236.1401,232.4103,234.9582,847300
2024-09-11,232.2359,234.7741,229.4168,234.2897,751500
2024-09-12,234.3672,234.6676,230.3953,232.3619,763400
2024-09-13,233.97,235.8785,231.5384,235.3651,450300
2024-09-16,237.3026,239.7246,236.8667,237.4383,1059600
2024-09-17,236.702,238.9593,235.956,237.3511,651300
2024-09-18,238.3199,239.2015,232.2844,232.42,609000
2024-09-19,232.1971,233.3016,224.9313,230.8505,776200
2024-09-20,229.194,232.1197,228.1283,231.9937,1177100
2024-09-23,233.0013,235.026,230.8021,233.0206,639300
2024-09-24,232.1875,234.9485,230.9959,234.4254,660300
2024-09-25,234.6966,236.1788,230.9281,231.8581,484300
2024-09-26,232.1584,232.1584,227.1208,228.8839,790800
2024-09-27,231.0831,231.7903,229.2618,231.1896,709300
2024-09-30,231.8193,233.3403,230.5793,233.1853,828500
2024-10-01,233.6407,235.9367,230.7343,235.0648,816800
2024-10-02,232.3328,235.5298,231.3253,234.4157,739100
2024-10-03,233.4178,234.0379,230.2015,232.42,880600
2024-10-04,226.8883,229.6493,223.1681,228.0217,1139100
2024-10-07,226.152,230.5696,225.4351,230.2887,901600
2024-10-08,230.5212,232.3812,228.9614,231.1703,627500
2024-10-09,230.1724,231.2478,226.5879,228.1186,627300
2024-10-10,227.3533,229.9496,223.9432,225.9485,656500
2024-10-11,226.9367,227.7311,224.5438,226.2198,533700
2024-10-14,226.307,232.7881,225.9195,232.3328,546200
2024-10-15,234.4447,241.9237,233.786,241.5265,3295400
2024-10-16,242.4566,244.7526,240.2768,240.984,893800
2024-10-17,239.1046,240.4609,236.5082,239.4824,677500
2024-10-18,239.9668,241.1196,237.9905,239.744,512100
2024-10-21,239.3177,240.8581,233.8441,235.8689,569300
2024-10-22,232.7009,237.0411,232.7009,233.9216,754700
2024-10-23,234.1541,236.7892,233.7182,236.082,496000
2024-10-24,235.2682,238.6299,235.2682,238.3877,787500
2024-10-25,239.3177,239.3274,234.1057,234.2413,599100
2024-10-28,235.8785,237.5158,231.8484,232.449,1324200
2024-10-29,233.476,234.0572,224.0304,224.5147,1363500
2024-10-30,225.2801,229.4652,223.0131,224.6407,821900
2024-10-31,222.0928,225.9292,221.405,222.3059,803500
2024-11-01,221.5309,224.1466,218.1789,218.5471,720200
2024-11-04,221.2984,222.9066,218.9152,221.6278,785400
2024-11-05,220.194,222.1219,218.1692,221.2306,682200
2024-11-06,209.8184,214.3813,205.7592,211.9206,2237300
2024-11-07,213.1316,215.4179,210.9518,214.6623,1860200
2024-11-08,216.2898,217.8108,215.0885,216.9292,1332300
2024-11-11,215.6892,217.3167,212.6666,213.3157,1077500
2024-11-12,212.7925,213.2478,208.7333,212.7441,1153600
2024-11-13,217.0842,217.0842,210.9906,211.6881,735500
2024-11-14,209.8002,214.5686,209.3331,212.6028,1275600
2024-11-15,213.0213,215.9991,211.6881,215.1525,888400
2024-11-18,212.3012,215.8434,212.3012,215.6585,857400
2024-11-19,215.8142,216.9917,213.284,213.576,615300
2024-11-20,212.3985,214.1015,212.0189,213.0602,566100
2024-11-21,212.0092,214.0237,211.4156,213.5371,688600
2024-11-22,214.9092,216.437,214.1793,214.734,579300
2024-11-25,217.6924,221.692,215.9115,219.9112,1012700
2024-11-26,219.9598,221.5947,218.7239,220.5048,644400
2024-11-27,222.3635,223.5118,221.6823,222.3732,396100
2024-11-29,222.6068,222.7333,219.9404,220.1739,351600
2024-12-02,219.9793,219.9988,216.2035,216.9528,644300
2024-12-03,216.9528,219.1911,216.5246,217.0988,644100
2024-12-04,216.5246,217.4491,212.4082,214.88,872400
2024-12-05,213.8679,216.0186,212.6028,215.6293,622600
2024-12-06,216.8263,216.9333,210.2868,214.4616,1072300
2024-12-09,214.4616,219.0159,214.4616,217.2642,866900
2024-12-10,216.3981,216.3981,210.5885,211.5421,933100
2024-12-11,212.0676,212.379,208.7492,210.4035,899300
2024-12-12,210.3062,212.379,209.3428,210.2478,730800
2024-12-13,209.2358,210.2284,207.3576,208.5254,609600
2024-12-16,206.5888,208.6616,205.9757,206.5791,813600
2024-12-17,206.6569,207.9999,202.2583,203.3775,779300
2024-12-18,201.3436,203.3969,195.495,195.6604,1356900
2024-12-19,194.6678,196.001,191.8652,192.9162,1819600
2024-12-20,194.6289,199.0859,194.405,198.103,2458100
2024-12-23,197.1688,197.9668,195.2128,197.8208,1109000
2024-12-24,196.7698,197.7916,195.5241,197.1201,438300
2024-12-26,196.8185,198.6285,195.5436,198.5215,591600
2024-12-27,196.4681,200.0006,196.4681,197.7429,653500
2024-12-30,197.8792,198.1224,195.495,197.8597,658800
2024-12-31,199.8547,200.3218,196.2054,198.3268,696400
2025-01-02,199.553,199.7865,194.7067,195.0181,513700
2025-01-03,196.001,197.5191,193.9574,196.3805,525900
2025-01-06,195.5047,197.3342,193.1692,193.5876,811200
2025-01-07,193.1789,194.8138,190.3568,190.6293,761100
2025-01-08,190.386,194.5802,188.2159,194.3467,1131100
2025-01-10,189.841,190.6293,187.379,187.5833,1108900
2025-01-13,187.8947,190.0162,187.4373,189.7242,846100
2025-01-14,189.4615,192.0793,189.0041,189.7826,853500
2025-01-15,195.0181,195.5047,191.5635,191.9333,1021000
2025-01-16,192.5658,199.4946,192.5658,198.6966,1188300
2025-01-17,200.0104,200.0104,197.8792,198.1419,697700
2025-01-21,199.3194,201.8399,197.8597,198.8718,670900
2025-01-22,197.0715,198.2295,192.848,193.0718,996500
2025-01-23,193.0329,193.4027,189.841,193.3541,576700
2025-01-24,193.0524,193.7628,190.9601,191.544,673500
2025-01-27,199.8838,202.8519,197.9084,202.3556,1022700
2025-01-28,201.7815,201.7815,195.6409,196.254,815100
2025-01-29,196.5752,197.0617,191.4759,192.7799,738000
2025-01-30,195.456,196.7211,192.1571,193.792,709100
2025-01-31,192.7799,196.147,191.8068,192.2544,769300
2025-02-03,191.6705,193.8893,190.7266,192.4198,812800
2025-02-04,191.6413,192.994,189.9675,192.235,676200
2025-02-05,194.4732,198.3171,192.1765,198.0154,822500
2025-02-06,198.8426,199.6308,198.1322,199.4946,620400
2025-02-07,198.8815,201.2365,198.21,200.2926,779000
2025-02-10,201.4312,201.9372,198.2393,200.7694,556300
2025-02-11,200.8667,203.7667,200.0785,203.6207,526300
2025-02-12,200.0785,203.3288,198.648,203.0271,588600
2025-02-13,204.0489,204.0489,201.8983,202.5308,441000
2025-02-14,204.263,205.4502,199.7865,199.8547,486800
2025-02-18,198.8913,201.11,198.103,200.857,537500
2025-02-19,200.6721,202.9493,199.2027,202.1902,696800
2025-02-20,201.908,204.6523,200.7499,204.3895,485400
2025-02-21,204.1657,209.2358,203.8932,207.2798,1132700
2025-02-24,207.3771,209.8099,205.1388,207.124,1171700
2025-02-25,214.5783,219.3273,211.5032,213.284,1779000
2025-02-26,212.0579,214.3156,208.9438,209.7029,761700
2025-02-27,207.4063,212.4958,207.3089,212.3401,666300
2025-02-28,214.0528,214.3545,210.4327,212.0482,1094000
2025-03-03,211.0361,216.4565,211.0361,215.5612,629600
2025-03-04,217.1669,221.838,212.7878,213.4592,958000
2025-03-05,209.8683,215.3277,209.8683,214.4616,792200
2025-03-06,214.8703,214.8703,208.9633,212.8656,826800
2025-03-07,214.082,219.9014,214.082,217.7216,1520800
2025-03-10,218.6363,221.4779,217.0112,218.8699,1453500
2025-03-11,218.3834,220.4172,214.1015,214.5005,1536400
2025-03-12,212.6807,213.7901,207.961,210.6663,755400
2025-03-13,211.6445,212.2411,207.3797,209.874,939300
2025-03-14,210.6761,214.7159,209.786,213.4638,1282800
2025-03-17,214.4322,218.7655,214.129,216.0755,927000
2025-03-18,215.5571,218.8828,214.1681,218.2764,750900
2025-03-19,216.3592,218.3057,212.9747,214.9897,794500
2025-03-20,215.2539,216.77,213.6888,216.144,632800
2025-03-21,216.5744,218.2862,214.3051,216.7994,1208600
2025-03-24,215.8408,217.4156,212.8671,213.9138,747300
2025-03-25,212.5052,212.5052,208.798,209.6294,809400
2025-03-26,210.5782,211.6444,208.7491,210.0109,394500
2025-03-27,210.4707,212.9258,209.8251,211.6542,558100
2025-03-28,213.4932,213.4932,210.9011,212.1042,533800
2025-03-31,213.9725,217.9243,213.1019,215.205,1209500
2025-04-01,215.0583,217.445,212.8476,215.606,670900
2025-04-02,214.5789,215.8799,212.5933,214.5496,708000
2025-04-03,219.8317,229.7209,219.5284,225.8278,1610200
2025-04-04,226.5418,229.3002,214.9604,215.1071,2220100
2025-04-07,199.0066,215.1071,198.5665,209.7468,1982300
2025-04-08,212.4661,212.4661,201.902,204.0148,1736700
2025-04-09,202.5378,211.0869,197.021,207.5068,1931100
2025-04-10,208.6317,213.7083,202.0487,207.5655,1530500
2025-04-11,207.722,215.205,205.8146,214.3931,1118100
2025-04-14,213.6399,220.5359,212.9845,219.8219,860600
2025-04-15,220.9468,222.3846,218.8241,219.9588,747400
2025-04-16,217.0341,223.7541,217.0341,220.7413,1622500
2025-04-17,221.4065,226.2386,221.4065,224.0573,1308100
2025-04-21,224.4486,225.0844,217.4645,220.624,982300
2025-04-22,221.7293,226.8548,220.624,226.3658,1111100
2025-04-23,224.1453,225.4854,215.1952,219.01,1823500
2025-04-24,221.8075,221.8075,217.0243,217.9731,883200
2025-04-25,216.9461,218.9122,214.5887,217.2395,856200
2025-04-28,216.7504,219.4208,216.3494,218.4035,882200
2025-04-29,228.9677,233.8389,224.7909,233.2911,1703100
2025-04-30,231.5598,238.8569,231.5598,238.0841,1201100
2025-05-01,235.9909,237.4777,234.015,235.4822,740400
2025-05-02,236.7832,237.3603,233.0564,236.6756,758600
2025-05-05,237.3994,239.3557,235.1496,236.6658,700900
2025-05-06,236.9201,239.8057,235.7757,237.5266,739700
2025-05-07,237.6929,238.8569,235.0323,235.0616,860600
2025-05-08,234.8464,235.6485,231.1783,231.4522,925100
2025-05-09,230.249,235.4431,228.6253,234.4551,670600
2025-05-12,229.2807,230.2882,222.9911,224.654,1065200
2025-05-13,224.7811,224.7811,218.8241,220.8881,1067300
2025-05-14,219.7241,220.1936,215.9973,217.8655,1526100
2025-05-15,220.0762,224.6442,219.2839,224.0866,929800
2025-05-16,224.429,228.1754,224.1649,227.9895,1084700
2025-05-19,229.222,230.4545,227.0211,230.3664,544500
2025-05-20,226.9527,230.9338,226.9527,228.6742,648200
2025-05-21,228.5666,230.3664,226.4538,226.8353,594100
2025-05-22,227.1105,227.1105,221.5278,224.3585,705300
2025-05-23,225.5576,227.1498,223.6606,225.5871,400800
2025-05-27,226.2849,228.4668,224.614,227.0515,573200
2025-05-28,226.7075,226.7075,222.4812,225.1054,673700
2025-05-29,223.985,226.4225,222.7466,226.2947,512400
2025-05-30,226.6289,228.6143,224.2307,227.9164,1256500
2025-06-02,226.049,227.8673,223.926,227.1006,522800
2025-06-03,225.7541,226.4225,222.3633,225.5477,627200
2025-06-04,225.9605,228.4865,224.3486,226.796,427900
2025-06-05,226.4618,227.3169,224.6435,225.7148,674700
2025-06-06,224.4469,225.8426,221.6556,221.8128,482400
2025-06-09,221.6261,222.5696,218.6579,221.1347,610900
2025-06-10,222.206,223.7491,220.771,222.2846,546900
2025-06-11,221.9505,224.211,219.2377,220.8988,745500
2025-06-12,222.3731,224.2012,221.1347,224.1619,643700
2025-06-13,224.0538,225.0563,222.1962,223.926,592600
2025-06-16,223.641,228.113,222.894,226.1767,1147400
2025-06-17,225.4494,226.7566,223.3166,224.6042,821700
2025-06-18,224.2897,224.8892,222.1765,224.4076,595900
2025-06-20,225.8721,226.6092,222.8547,225.3806,937500
2025-06-23,226.3045,231.612,225.3315,230.1082,573900
2025-06-24,229.7151,233.3517,227.8476,232.5457,598800
2025-06-25,231.6022,231.6022,227.2579,228.6929,493900
2025-06-26,229.1647,229.8822,224.8106,226.7468,700700
2025-06-27,226.4127,229.0467,225.3512,226.8451,780100
2025-06-30,226.4028,230.8945,224.4961,230.8159,621400
2025-07-01,230.3736,235.2191,229.8232,234.649,846700
2025-07-02,234.0593,236.2806,232.0248,233.5188,728200
2025-07-03,231.8184,231.8184,226.7763,229.9215,524800
2025-07-07,229.9116,231.8282,227.4152,229.5873,695000
2025-07-08,227.7002,231.5825,227.7002,230.2262,650100
2025-07-09,228.8895,230.521,226.1866,230.2556,725200
2025-07-10,229.1155,231.1992,226.0588,228.801,583300
2025-07-11,227.8378,227.8378,223.6606,224.8794,678900
2025-07-14,225.7639,229.4399,225.1152,228.3587,461200
2025-07-15,227.7887,228.3784,225.243,226.0883,610600
2025-07-16,227.0122,230.0099,225.9605,229.8822,1058400
2025-07-17,228.919,230.3048,228.0245,228.8698,445900
2025-07-18,229.145,231.3073,227.995,229.892,395600
2025-07-21,230.8748,232.6735,229.9608,230.3539,403300
2025-07-22,232.585,236.0349,230.5112,235.2486,960700
2025-07-23,238.9933,238.9933,231.4842,232.8504,980500
2025-07-24,233.1158,236.025,230.4227,231.0911,894000
2025-07-25,231.4154,231.6611,228.2408,229.9117,500400
2025-07-28,228.2309,229.4104,222.5696,222.8645,634500
2025-07-29,223.4837,225.2529,219.2476,224.9973,977100
2025-07-30,224.0636,227.7887,221.8915,223.0906,778500
2025-07-31,220.6629,223.5918,219.6407,220.8693,859200
2025-08-01,230.6193,230.6193,223.1888,224.6533,1083100
2025-08-04,224.2405,227.3758,223.8474,226.452,944600
2025-08-05,219.4245,219.4245,211.8171,215.4046,2174000
2025-08-06,216.0434,219.454,215.7387,216.0041,987900
2025-08-07,215.9156,219.6407,214.2546,219.3164,754400
2025-08-08,219.3164,220.3877,215.8567,217.0656,569100
2025-08-11,216.5348,217.5963,214.2841,215.3554,602800
2025-08-12,215.7092,216.0926,213.2128,214.2546,621900
2025-08-13,214.5593,216.869,214.3824,215.6306,929500
2025-08-14,215.2866,215.2866,210.9718,213.1931,921900
2025-08-15,214.176,217.2229,214.0777,216.1712,791300
2025-08-18,216.3579,217.0459,211.3257,211.4633,850200
2025-08-19,212.6525,216.6528,212.4166,216.4857,743200
2025-08-20,218.1664,221.3607,217.7045,219.8766,941700
2025-08-21,216.9923,219.926,216.2614,218.1875,526100
2025-08-22,219.9655,222.5732,218.9975,220.1433,513500
2025-08-25,218.3357,220.0248,218.3357,218.8592,530100
2025-08-26,216.3009,216.3009,211.4608,216.1626,1325300
2025-08-27,214.3649,215.9749,205.396,205.5836,1234200
2025-08-28,205.6528,207.974,201.0794,203.5192,1811700
2025-08-29,204.7638,206.1467,202.1166,202.3438,1350800
2025-09-02,200.1707,203.6772,199.1335,199.5286,1276500
2025-09-03,199.4595,202.0771,196.1702,196.8715,1438300
2025-09-04,198.2347,198.8767,190.5894,192.7822,2126000
2025-09-05,195.8541,197.1975,194.1058,195.3208,1863200
2025-09-08,191.4685,191.5277,184.5245,189.0089,2436400
2025-09-09,189.0089,189.8386,186.4901,189.1275,2326300
2025-09-10,188.841,191.9624,188.2088,191.2018,1517500
2025-09-11,192.6143,197.3951,190.9252,197.0,1602900
2025-09-12,195.706,198.2939,195.4492,197.5235,1334400
2025-09-15,197.5926,199.3014,192.9501,195.627,1480200
2025-09-16,195.7356,197.395,194.7775,196.7431,1746400
2025-09-17,195.6764,201.198,195.6764,196.9407,1458500
2025-09-18,194.6787,197.6025,194.6293,196.3875,1119800
2025-09-19,196.9111,198.0667,195.9727,196.6641,1832400
2025-09-22,195.301,197.8099,194.3824,195.5776,1733700
2025-09-23,196.8221,196.8617,194.5602,196.3875,899800
2025-09-24,195.9727,196.4567,192.8217,192.8414,1408500
2025-09-25,193.7601,195.4096,192.4957,193.039,966200
2025-09-26,192.9402,194.2144,191.5771,191.8438,1248200
2025-09-29,193.1082,194.5503,191.1721,193.7008,925800
2025-09-30,193.1082,193.7305,190.4906,190.9845,1307000
2025-10-01,191.745,192.0019,187.31,189.4435,1237500
2025-10-02,188.2088,190.3226,186.6284,189.3546,841900
2025-10-03,188.4163,190.2634,187.9224,189.7399,1144100
2025-10-06,188.5348,188.841,185.4925,186.3518,1072100
2025-10-07,187.3495,187.5964,184.8603,186.2234,895900
2025-10-08,184.8504,186.6087,184.2281,185.3147,958600
2025-10-09,186.5099,186.8754,184.6825,185.1962,819300
2025-10-10,186.7963,187.3495,183.4281,186.7865,844000
2025-10-13,185.3937,186.6185,183.1811,185.8184,997900
2025-10-14,185.9962,190.1152,185.9962,188.7324,1267800
2025-10-15,188.5447,194.0366,188.357,192.071,1164900
2025-10-16,192.0315,197.0494,191.6463,195.0047,908700
2025-10-17,194.8367,195.3109,190.3325,193.8588,713400
2025-10-20,194.0762,195.5776,192.3278,195.3405,627100
2025-10-21,194.5799,195.8443,193.3452,195.2516,570100
2025-10-22,195.1133,197.4938,194.1552,194.9651,610900
2025-10-23,195.5776,196.0319,192.0019,193.7008,1018700
2025-10-24,194.6688,197.4247,193.5329,196.2492,878300
2025-10-27,194.7874,196.3678,193.7403,194.8861,1133200
2025-10-28,192.8711,194.1552,185.1468,191.0338,3275700
2025-10-29,191.6364,191.6364,187.4977,188.0903,1342900
2025-10-30,187.7347,191.8142,187.468,188.8015,1320100
2025-10-31,186.5395,190.2041,186.3321,189.1373,1330800
2025-11-03,186.9741,191.508,186.5296,191.1524,1854000
2025-11-04,193.4341,197.5531,192.9797,193.7996,1447200
2025-11-05,193.9675,196.4863,193.0785,193.3946,978600
2025-11-06,192.6241,197.0098,192.2192,192.3673,998900
2025-11-07,193.3847,195.1627,192.4858,194.9849,798300
2025-11-10,193.1082,198.1062,192.7131,196.9802,717600
2025-11-11,198.284,204.7539,197.0394,200.3583,967700
2025-11-12,199.5286,200.7732,198.1853,199.1632,781300
2025-11-13,198.895,199.1731,192.4092,192.6376,1169600
2025-11-14,193.8096,196.2133,191.6841,195.8756,821900
2025-11-17,197.0078,197.0078,193.7699,194.4552,725200
2025-11-18,196.1437,197.1966,193.6606,196.3622,778500
2025-11-19,197.2164,197.7428,193.4918,194.7631,630700
2025-11-20,194.8128,195.6173,193.0349,193.9288,731400
2025-11-21,195.1306,197.0476,193.4223,193.7004,1111500
2025-11-24,193.5216,194.0182,190.671,191.7834,1372200
2025-11-25,193.025,194.0381,191.8927,191.992,772000
2025-11-26,191.2074,194.6241,191.2074,193.4719,756200
2025-11-28,192.7767,194.0778,192.3595,192.9555,313100
2025-12-01,191.8331,191.8331,186.7279,187.294,941800
2025-12-02,187.6119,187.8502,185.0394,185.7048,590300
2025-12-03,185.7148,186.6782,183.8773,186.0723,837600
2025-12-04,184.9897,189.1613,184.9897,188.7143,760600
2025-12-05,188.1184,189.3103,187.5423,188.2972,716000
2025-12-08,187.9595,190.7405,186.3405,189.6877,852300
2025-12-09,190.9392,191.8232,187.4728,188.0091,636800
2025-12-10,188.7441,190.5518,187.741,187.9396,824000
2025-12-11,189.4394,192.7369,187.8105,191.5252,693800
2025-12-12,190.085,192.8462,188.8335,190.3631,1008700
2025-12-15,191.406,192.1311,188.9825,191.8232,911900
2025-12-16,192.2403,192.29,188.5256,188.6945,698400
2025-12-17,188.2177,191.2173,188.0886,189.6579,755000
2025-12-18,190.0354,190.8796,187.9396,189.0719,956100
2025-12-19,187.9396,190.0949,187.1053,188.7243,1526800
2025-12-22,187.3536,190.2241,184.8606,189.3401,673100
2025-12-23,189.9162,190.671,187.5026,190.6114,700000
2025-12-24,190.6909,191.7238,190.0651,191.2968,242400
2025-12-26,190.9888,192.3794,190.3432,191.2968,348100
2025-12-29,191.8629,193.1442,191.3961,192.3794,563400
2025-12-30,192.4489,194.197,191.406,193.4421,477300
2025-12-31,193.0647,193.9387,192.1112,192.1211,366300
2026-01-02,190.8895,192.5581,189.8069,191.1776,380800
2026-01-05,189.1514,189.648,185.5658,188.7739,1037600
2026-01-06,188.2575,189.7374,186.3703,186.8471,714900
2026-01-07,187.88,188.8534,180.1527,180.1924,1174900
2026-01-08,179.6561,182.5166,178.8913,180.1328,785700
2026-01-09,180.1427,181.3148,178.6728,179.9739,938900
2026-01-12,180.6393,186.7279,180.6393,183.7482,945300
2026-01-13,184.2845,186.8272,181.3743,186.7676,704200
2026-01-14,187.0259,193.4024,186.7974,190.7604,762000
2026-01-15,190.5816,191.4557,188.7739,190.6909,650700
2026-01-16,189.3301,193.1442,187.88,192.7965,670900
2026-01-20,192.7965,192.7965,184.4633,184.6222,885600
2026-01-21,185.6353,187.4132,183.9766,184.8705,678700
2026-01-22,185.2579,187.4629,183.4701,184.0362,879300
2026-01-23,183.6191,186.3405,182.3179,185.8936,681100
2026-01-26,186.4597,189.1712,186.2809,186.4001,475700
2026-01-27,186.0823,186.5988,184.4931,185.5261,596400
2026-01-28,185.089,187.0854,182.0001,182.9139,745300
2026-01-29,183.917,186.8868,182.8642,186.4994,760400
2026-01-30,188.1085,189.4394,180.8777,182.8642,1238400
2026-02-02,182.8741,184.3044,179.805,179.9143,1289700
2026-02-03,179.7752,180.9473,176.5274,178.4344,1014100
2026-02-04,179.0204,185.3274,178.4741,183.619,1329600
2026-02-05,181.0764,181.4141,177.3418,179.2886,1083100
2026-02-06,180.1725,181.5333,176.289,179.517,663100
2026-02-09,179.4177,183.8078,176.7955,183.3807,520800
2026-02-10,183.4999,188.2773,183.4999,187.8006,722600
2026-02-11,187.3933,189.6877,183.9667,189.6678,793000
2026-02-12,192.4688,200.4146,192.1708,197.9415,1221800
2026-02-13,198.3686,200.6331,198.0408,199.4115,1015100
2026-02-17,200.6133,203.3248,199.4909,201.7456,1293300
2026-02-18,201.4377,202.1727,194.2268,196.1239,1020300
2026-02-19,196.1239,198.0607,195.7365,196.9482,728800
2026-02-20,198.3189,198.3189,195.0015,198.1898,676600
2026-02-23,198.5672,200.9808,197.1072,198.2891,1009900
2026-02-24,197.4647,201.1397,196.8886,200.2359,687900
2026-02-25,200.3749,200.3749,195.3392,195.8358,805000
2026-02-26,195.369,195.7564,190.1148,190.8697,2027100
2026-02-27,192.0615,199.9478,191.1974,199.7988,2197700
2026-03-02,197.9514,204.9835,194.7631,197.574,1428600
2026-03-03,194.5347,197.1965,193.1342,196.0444,1219500
2026-03-04,195.3789,196.4715,193.3329,195.1008,931400
2026-03-05,193.3527,196.402,190.7902,194.3658,1055300
2026-03-06,193.611,197.872,192.5482,195.2498,1101200
2026-03-09,195.1306,195.3293,191.3663,194.6042,1188200
2026-03-10,193.601,195.7365,191.3563,192.3893,1216700
2026-03-11,191.4557,191.5451,186.7279,187.2841,913200
2026-03-12,186.6186,188.466,183.0231,183.48,745000
2026-03-13,186.18,188.53,185.63,188.04,675200
2026-03-16,189.92,190.64,187.33,187.61,719900
2026-03-17,189.11,190.04,186.81,187.15,561300
2026-03-18,185.44,186.48,182.47,183.03,620400
2026-03-19,182.86,183.42,180.4,182.28,713200
2026-03-20,181.81,183.51,173.77,174.15,1510200
2026-03-23,174.59,175.48,170.78,171.98,996300
2026-03-24,170.97,173.93,166.58,166.76,1052200
2026-03-25,168.18,168.32,162.41,165.15,1231300
2026-03-26,164.57,166.91,163.05,166.17,662900
2026-03-27,165.62,168.61,165.01,167.06,836700
2026-03-30,168.47,172.14,167.77,169.83,811100
2026-03-31,169.83,172.93,169.0,172.11,1248900
2026-04-01,170.63,173.82,170.34,171.56,976900
2026-04-02,171.44,204.8,170.42,204.04,6566500
2026-04-06,204.45,213.87,203.5,212.42,3397500
2026-04-07,211.15,211.15,202.56,205.86,2121300
2026-04-08,204.77,223.86,204.2,218.71,3486700
2026-04-09,218.6,220.28,215.79,218.46,1714500
2026-04-10,218.16,224.2,217.15,223.75,1556400
2026-04-13,222.52,223.03,217.14,220.24,1315500
2026-04-14,219.86,220.16,215.2,218.08,1200800
2026-04-15,218.51,218.51,212.72,214.2,1758200
2026-04-16,215.0,222.16,214.41,221.76,1055400
2026-04-17,221.66,224.27,220.24,223.14,944700
2026-04-20,223.01,224.1,219.45,220.41,635538
